,0,1,2
126,BX1,114300,2014-08-08 20:12:59
127,BX1,121000,2014-08-08 20:13:01
128,BX1,122400,2014-08-08 20:13:01
129,BX1,117900,2014-08-08 20:13:02
130,BX1,117300,2014-08-08 20:13:04
131,BX1,120900,2014-08-08 20:13:08
132,BX1,115500,2014-08-08 20:14:01
133,BX1,115700,2014-08-08 20:14:01
134,BX1,114300,2014-08-08 20:14:02
135,BX1,121000,2014-08-08 20:14:04
136,BX1,122400,2014-08-08 20:14:04
137,BX1,117900,2014-08-08 20:14:05
138,BX1,117300,2014-08-08 20:14:08
139,BX1,120900,2014-08-08 20:14:11
140,BX1,115500,2014-08-08 20:15:04
141,BX1,114300,2014-08-08 20:15:05
142,BX1,115700,2014-08-08 20:15:05
143,BX1,117900,2014-08-08 20:15:07
144,BX1,121000,2014-08-08 20:15:07
145,BX1,122400,2014-08-08 20:15:07
146,BX1,117300,2014-08-08 20:15:11
147,BX1,120900,2014-08-08 20:15:13
148,BX1,115500,2014-08-08 20:16:07
149,BX1,114300,2014-08-08 20:16:08
150,BX1,115700,2014-08-08 20:16:09
151,BX1,121000,2014-08-08 20:16:10
152,BX1,117900,2014-08-08 20:16:11
153,BX1,122400,2014-08-08 20:16:11
154,BX1,117300,2014-08-08 20:16:14
155,BX1,120900,2014-08-08 20:16:16
156,BX1,115500,2014-08-08 20:16:39
157,BX1,114300,2014-08-08 20:16:40
158,BX1,115700,2014-08-08 20:16:40
159,BX1,121000,2014-08-08 20:16:41
160,BX1,117900,2014-08-08 20:16:42
161,BX1,122400,2014-08-08 20:16:43
162,BX1,117300,2014-08-08 20:16:45
163,BX1,120900,2014-08-08 20:16:48
164,BX1,115500,2014-08-08 20:17:42
165,BX1,114300,2014-08-08 20:17:43
166,BX1,115700,2014-08-08 20:17:44
167,BX1,117900,2014-08-08 20:17:45
168,BX1,121000,2014-08-08 20:17:45
169,BX1,117300,2014-08-08 20:17:48
170,BX1,122400,2014-08-08 20:17:48
171,BX1,120900,2014-08-08 20:17:51
172,BX1,115500,2014-08-08 20:18:14
173,BX1,117900,2014-08-08 20:18:49
174,BX1,121000,2014-08-08 20:18:49
175,BX1,117300,2014-08-08 20:18:51
176,BX1,120900,2014-08-08 20:18:54
177,BX1,122400,2014-08-08 20:18:55
178,BX1,115500,2014-08-08 20:19:17
179,BX1,114300,2014-08-08 20:19:19
180,BX1,115700,2014-08-08 20:19:19
181,BX1,115500,2014-08-08 20:19:48
182,BX1,115700,2014-08-08 20:19:51
183,BX1,117900,2014-08-08 20:19:52
184,BX1,121000,2014-08-08 20:19:52
185,BX1,117300,2014-08-08 20:19:55
186,BX1,120900,2014-08-08 20:19:58
187,BX1,122400,2014-08-08 20:20:01
188,BX1,121000,2014-08-08 20:20:54
189,BX1,115700,2014-08-08 20:20:55
190,BX1,117900,2014-08-08 20:20:55
191,BX1,117300,2014-08-08 20:20:58
192,BX1,120900,2014-08-08 20:21:00
193,BX1,122400,2014-08-08 20:21:08
194,BX1,121000,2014-08-08 20:21:25
195,BX1,117300,2014-08-08 20:21:30
196,BX1,120900,2014-08-08 20:21:32
197,BX1,122400,2014-08-08 20:21:41
198,BX1,115700,2014-08-08 20:21:58
199,BX1,117900,2014-08-08 20:21:58
200,BX1,117300,2014-08-08 20:22:01
201,BX1,120900,2014-08-08 20:22:04
202,BX1,122400,2014-08-08 20:22:14
203,BX1,120900,2014-08-08 20:22:37
204,BX1,121000,2014-08-08 20:22:41
205,BX1,122400,2014-08-08 20:22:48
206,BX1,115700,2014-08-08 20:23:02
207,BX1,117900,2014-08-08 20:23:02
208,BX1,117300,2014-08-08 20:23:05
209,BX1,117300,2014-08-08 20:23:36
210,BX1,120900,2014-08-08 20:23:40
211,BX1,121000,2014-08-08 20:23:45
212,BX1,122400,2014-08-08 20:23:53
213,BX1,117900,2014-08-08 20:24:04
214,BX1,122400,2014-08-08 20:24:25
215,BX1,117900,2014-08-08 20:24:36
216,BX1,117300,2014-08-08 20:24:39
217,BX1,120900,2014-08-08 20:24:44
218,BX1,121000,2014-08-08 20:24:48
219,BX1,122400,2014-08-08 20:25:30
220,BX1,117900,2014-08-08 20:25:39
221,BX1,120900,2014-08-08 20:25:46
222,BX1,117300,2014-08-08 20:25:50
223,BX1,121000,2014-08-08 20:25:51
224,BX1,120900,2014-08-08 20:26:18
225,BX1,117300,2014-08-08 20:26:22
226,BX1,121000,2014-08-08 20:26:22
227,BX1,122400,2014-08-08 20:26:33
228,BX1,117900,2014-08-08 20:26:42
229,BX1,120900,2014-08-08 20:26:50
230,BX1,121000,2014-08-08 20:26:54
231,BX1,117300,2014-08-08 20:26:55
232,BX1,121000,2014-08-08 20:27:26
233,BX1,117300,2014-08-08 20:27:27
234,BX1,122400,2014-08-08 20:27:38
235,BX1,117900,2014-08-08 20:27:45
236,BX1,122400,2014-08-08 20:27:49
237,BX1,120900,2014-08-08 20:27:55
238,BX1,120900,2014-08-08 20:28:27
239,BX1,121000,2014-08-08 20:28:28
240,BX1,117300,2014-08-08 20:28:30
241,BX1,122400,2014-08-08 20:28:40
242,BX1,117900,2014-08-08 20:28:49
243,BX1,122400,2014-08-08 20:28:52
244,BX1,117900,2014-08-08 20:29:20
245,BX1,122400,2014-08-08 20:29:25
246,BX1,121000,2014-08-08 20:29:31
247,BX1,117300,2014-08-08 20:29:35
248,BX1,120900,2014-08-08 20:29:35
249,BX1,122400,2014-08-08 20:29:44
250,BX1,122400,2014-08-08 20:30:17
251,BX1,117900,2014-08-08 20:30:25
252,BX1,122400,2014-08-08 20:30:29
253,BX1,121000,2014-08-08 20:30:34
254,BX1,117300,2014-08-08 20:30:38
255,BX1,120900,2014-08-08 20:30:39
