,Home team,starttime,endtime,startwindow_start,startwindow_end,endwindow_start,endwindow_end
37,NYN,2014-05-14 19:10:00,2014-05-14 22:06:00,2014-05-14 17:40:00,2014-05-14 19:40:00,2014-05-14 21:36:00,2014-05-14 23:36:00
38,NYN,2014-05-15 19:10:00,2014-05-15 22:06:00,2014-05-15 17:40:00,2014-05-15 19:40:00,2014-05-15 21:36:00,2014-05-15 23:36:00
39,NYA,2014-05-17 13:05:00,2014-05-17 16:01:00,2014-05-17 11:35:00,2014-05-17 13:35:00,2014-05-17 15:31:00,2014-05-17 17:31:00
40,NYA,2014-05-18 13:05:00,2014-05-18 16:01:00,2014-05-18 11:35:00,2014-05-18 13:35:00,2014-05-18 15:31:00,2014-05-18 17:31:00
41,NYN,2014-05-20 19:10:00,2014-05-20 22:06:00,2014-05-20 17:40:00,2014-05-20 19:40:00,2014-05-20 21:36:00,2014-05-20 23:36:00
42,NYN,2014-05-21 19:10:00,2014-05-21 22:06:00,2014-05-21 17:40:00,2014-05-21 19:40:00,2014-05-21 21:36:00,2014-05-21 23:36:00
43,NYN,2014-05-22 19:10:00,2014-05-22 22:06:00,2014-05-22 17:40:00,2014-05-22 19:40:00,2014-05-22 21:36:00,2014-05-22 23:36:00
44,NYN,2014-05-24 16:05:00,2014-05-24 19:01:00,2014-05-24 14:35:00,2014-05-24 16:35:00,2014-05-24 18:31:00,2014-05-24 20:31:00
45,NYN,2014-05-25 13:10:00,2014-05-25 16:06:00,2014-05-25 11:40:00,2014-05-25 13:40:00,2014-05-25 15:36:00,2014-05-25 17:36:00
46,NYN,2014-05-26 13:10:00,2014-05-26 16:06:00,2014-05-26 11:40:00,2014-05-26 13:40:00,2014-05-26 15:36:00,2014-05-26 17:36:00
47,NYN,2014-05-27 19:10:00,2014-05-27 22:06:00,2014-05-27 17:40:00,2014-05-27 19:40:00,2014-05-27 21:36:00,2014-05-27 23:36:00
48,NYN,2014-05-28 13:10:00,2014-05-28 16:06:00,2014-05-28 11:40:00,2014-05-28 13:40:00,2014-05-28 15:36:00,2014-05-28 17:36:00
49,NYA,2014-05-30 19:05:00,2014-05-30 22:01:00,2014-05-30 17:35:00,2014-05-30 19:35:00,2014-05-30 21:31:00,2014-05-30 23:31:00
50,NYA,2014-05-31 13:05:00,2014-05-31 16:01:00,2014-05-31 11:35:00,2014-05-31 13:35:00,2014-05-31 15:31:00,2014-05-31 17:31:00
51,NYA,2014-06-01 13:05:00,2014-06-01 16:01:00,2014-06-01 11:35:00,2014-06-01 13:35:00,2014-06-01 15:31:00,2014-06-01 17:31:00
52,NYA,2014-06-03 19:05:00,2014-06-03 22:01:00,2014-06-03 17:35:00,2014-06-03 19:35:00,2014-06-03 21:31:00,2014-06-03 23:31:00
53,NYA,2014-06-04 19:05:00,2014-06-04 22:01:00,2014-06-04 17:35:00,2014-06-04 19:35:00,2014-06-04 21:31:00,2014-06-04 23:31:00
54,NYA,2014-06-05 13:05:00,2014-06-05 16:01:00,2014-06-05 11:35:00,2014-06-05 13:35:00,2014-06-05 15:31:00,2014-06-05 17:31:00
55,NYN,2014-06-10 19:10:00,2014-06-10 22:06:00,2014-06-10 17:40:00,2014-06-10 19:40:00,2014-06-10 21:36:00,2014-06-10 23:36:00
56,NYN,2014-06-11 19:10:00,2014-06-11 22:06:00,2014-06-11 17:40:00,2014-06-11 19:40:00,2014-06-11 21:36:00,2014-06-11 23:36:00
57,NYN,2014-06-12 19:10:00,2014-06-12 22:06:00,2014-06-12 17:40:00,2014-06-12 19:40:00,2014-06-12 21:36:00,2014-06-12 23:36:00
58,NYN,2014-06-13 19:10:00,2014-06-13 22:06:00,2014-06-13 17:40:00,2014-06-13 19:40:00,2014-06-13 21:36:00,2014-06-13 23:36:00
59,NYN,2014-06-14 16:05:00,2014-06-14 19:01:00,2014-06-14 14:35:00,2014-06-14 16:35:00,2014-06-14 18:31:00,2014-06-14 20:31:00
60,NYN,2014-06-15 13:10:00,2014-06-15 16:06:00,2014-06-15 11:40:00,2014-06-15 13:40:00,2014-06-15 15:36:00,2014-06-15 17:36:00
61,NYA,2014-06-17 19:05:00,2014-06-17 22:01:00,2014-06-17 17:35:00,2014-06-17 19:35:00,2014-06-17 21:31:00,2014-06-17 23:31:00
62,NYA,2014-06-18 19:05:00,2014-06-18 22:01:00,2014-06-18 17:35:00,2014-06-18 19:35:00,2014-06-18 21:31:00,2014-06-18 23:31:00
63,NYA,2014-06-19 19:05:00,2014-06-19 22:01:00,2014-06-19 17:35:00,2014-06-19 19:35:00,2014-06-19 21:31:00,2014-06-19 23:31:00
64,NYA,2014-06-20 19:05:00,2014-06-20 22:01:00,2014-06-20 17:35:00,2014-06-20 19:35:00,2014-06-20 21:31:00,2014-06-20 23:31:00
65,NYA,2014-06-21 13:05:00,2014-06-21 16:01:00,2014-06-21 11:35:00,2014-06-21 13:35:00,2014-06-21 15:31:00,2014-06-21 17:31:00
66,NYA,2014-06-22 19:05:00,2014-06-22 22:01:00,2014-06-22 17:35:00,2014-06-22 19:35:00,2014-06-22 21:31:00,2014-06-22 23:31:00
67,NYN,2014-06-24 19:10:00,2014-06-24 22:06:00,2014-06-24 17:40:00,2014-06-24 19:40:00,2014-06-24 21:36:00,2014-06-24 23:36:00
68,NYN,2014-06-25 19:10:00,2014-06-25 22:06:00,2014-06-25 17:40:00,2014-06-25 19:40:00,2014-06-25 21:36:00,2014-06-25 23:36:00
69,NYA,2014-06-27 19:05:00,2014-06-27 22:01:00,2014-06-27 17:35:00,2014-06-27 19:35:00,2014-06-27 21:31:00,2014-06-27 23:31:00
70,NYA,2014-06-28 19:05:00,2014-06-28 22:01:00,2014-06-28 17:35:00,2014-06-28 19:35:00,2014-06-28 21:31:00,2014-06-28 23:31:00
71,NYA,2014-06-29 19:05:00,2014-06-29 22:01:00,2014-06-29 17:35:00,2014-06-29 19:35:00,2014-06-29 21:31:00,2014-06-29 23:31:00
72,NYA,2014-06-30 19:05:00,2014-06-30 22:01:00,2014-06-30 17:35:00,2014-06-30 19:35:00,2014-06-30 21:31:00,2014-06-30 23:31:00
73,NYA,2014-07-01 19:05:00,2014-07-01 22:01:00,2014-07-01 17:35:00,2014-07-01 19:35:00,2014-07-01 21:31:00,2014-07-01 23:31:00
74,NYA,2014-07-02 13:05:00,2014-07-02 16:01:00,2014-07-02 11:35:00,2014-07-02 13:35:00,2014-07-02 15:31:00,2014-07-02 17:31:00
75,NYN,2014-07-04 19:10:00,2014-07-04 22:06:00,2014-07-04 17:40:00,2014-07-04 19:40:00,2014-07-04 21:36:00,2014-07-04 23:36:00
76,NYN,2014-07-05 19:10:00,2014-07-05 22:06:00,2014-07-05 17:40:00,2014-07-05 19:40:00,2014-07-05 21:36:00,2014-07-05 23:36:00
77,NYN,2014-07-06 13:10:00,2014-07-06 16:06:00,2014-07-06 11:40:00,2014-07-06 13:40:00,2014-07-06 15:36:00,2014-07-06 17:36:00
78,NYN,2014-07-07 19:10:00,2014-07-07 22:06:00,2014-07-07 17:40:00,2014-07-07 19:40:00,2014-07-07 21:36:00,2014-07-07 23:36:00
79,NYN,2014-07-08 19:10:00,2014-07-08 22:06:00,2014-07-08 17:40:00,2014-07-08 19:40:00,2014-07-08 21:36:00,2014-07-08 23:36:00
80,NYN,2014-07-09 19:10:00,2014-07-09 22:06:00,2014-07-09 17:40:00,2014-07-09 19:40:00,2014-07-09 21:36:00,2014-07-09 23:36:00
81,NYN,2014-07-10 19:10:00,2014-07-10 22:06:00,2014-07-10 17:40:00,2014-07-10 19:40:00,2014-07-10 21:36:00,2014-07-10 23:36:00
82,NYN,2014-07-11 19:10:00,2014-07-11 22:06:00,2014-07-11 17:40:00,2014-07-11 19:40:00,2014-07-11 21:36:00,2014-07-11 23:36:00
83,NYN,2014-07-12 16:05:00,2014-07-12 19:01:00,2014-07-12 14:35:00,2014-07-12 16:35:00,2014-07-12 18:31:00,2014-07-12 20:31:00
84,NYN,2014-07-13 13:10:00,2014-07-13 16:06:00,2014-07-13 11:40:00,2014-07-13 13:40:00,2014-07-13 15:36:00,2014-07-13 17:36:00
85,NYA,2014-07-18 19:05:00,2014-07-18 22:01:00,2014-07-18 17:35:00,2014-07-18 19:35:00,2014-07-18 21:31:00,2014-07-18 23:31:00
86,NYA,2014-07-19 13:05:00,2014-07-19 16:01:00,2014-07-19 11:35:00,2014-07-19 13:35:00,2014-07-19 15:31:00,2014-07-19 17:31:00
87,NYA,2014-07-20 13:05:00,2014-07-20 16:01:00,2014-07-20 11:35:00,2014-07-20 13:35:00,2014-07-20 15:31:00,2014-07-20 17:31:00
88,NYA,2014-07-21 19:05:00,2014-07-21 22:01:00,2014-07-21 17:35:00,2014-07-21 19:35:00,2014-07-21 21:31:00,2014-07-21 23:31:00
89,NYA,2014-07-22 19:05:00,2014-07-22 22:01:00,2014-07-22 17:35:00,2014-07-22 19:35:00,2014-07-22 21:31:00,2014-07-22 23:31:00
90,NYA,2014-07-23 19:05:00,2014-07-23 22:01:00,2014-07-23 17:35:00,2014-07-23 19:35:00,2014-07-23 21:31:00,2014-07-23 23:31:00
91,NYA,2014-07-24 13:05:00,2014-07-24 16:01:00,2014-07-24 11:35:00,2014-07-24 13:35:00,2014-07-24 15:31:00,2014-07-24 17:31:00
92,NYA,2014-07-25 19:05:00,2014-07-25 22:01:00,2014-07-25 17:35:00,2014-07-25 19:35:00,2014-07-25 21:31:00,2014-07-25 23:31:00
93,NYA,2014-07-26 13:05:00,2014-07-26 16:01:00,2014-07-26 11:35:00,2014-07-26 13:35:00,2014-07-26 15:31:00,2014-07-26 17:31:00
94,NYA,2014-07-27 13:05:00,2014-07-27 16:01:00,2014-07-27 11:35:00,2014-07-27 13:35:00,2014-07-27 15:31:00,2014-07-27 17:31:00
95,NYN,2014-07-28 19:10:00,2014-07-28 22:06:00,2014-07-28 17:40:00,2014-07-28 19:40:00,2014-07-28 21:36:00,2014-07-28 23:36:00
96,NYN,2014-07-29 19:10:00,2014-07-29 22:06:00,2014-07-29 17:40:00,2014-07-29 19:40:00,2014-07-29 21:36:00,2014-07-29 23:36:00
97,NYN,2014-07-30 13:10:00,2014-07-30 16:06:00,2014-07-30 11:40:00,2014-07-30 13:40:00,2014-07-30 15:36:00,2014-07-30 17:36:00
98,NYN,2014-08-01 19:10:00,2014-08-01 22:06:00,2014-08-01 17:40:00,2014-08-01 19:40:00,2014-08-01 21:36:00,2014-08-01 23:36:00
99,NYN,2014-08-02 19:10:00,2014-08-02 22:06:00,2014-08-02 17:40:00,2014-08-02 19:40:00,2014-08-02 21:36:00,2014-08-02 23:36:00
100,NYN,2014-08-03 13:10:00,2014-08-03 16:06:00,2014-08-03 11:40:00,2014-08-03 13:40:00,2014-08-03 15:36:00,2014-08-03 17:36:00
101,NYA,2014-08-04 19:05:00,2014-08-04 22:01:00,2014-08-04 17:35:00,2014-08-04 19:35:00,2014-08-04 21:31:00,2014-08-04 23:31:00
102,NYN,2014-08-04 13:10:00,2014-08-04 16:06:00,2014-08-04 11:40:00,2014-08-04 13:40:00,2014-08-04 15:36:00,2014-08-04 17:36:00
103,NYA,2014-08-05 19:05:00,2014-08-05 22:01:00,2014-08-05 17:35:00,2014-08-05 19:35:00,2014-08-05 21:31:00,2014-08-05 23:31:00
104,NYA,2014-08-06 19:05:00,2014-08-06 22:01:00,2014-08-06 17:35:00,2014-08-06 19:35:00,2014-08-06 21:31:00,2014-08-06 23:31:00
105,NYA,2014-08-07 13:05:00,2014-08-07 16:01:00,2014-08-07 11:35:00,2014-08-07 13:35:00,2014-08-07 15:31:00,2014-08-07 17:31:00
106,NYA,2014-08-08 19:05:00,2014-08-08 22:01:00,2014-08-08 17:35:00,2014-08-08 19:35:00,2014-08-08 21:31:00,2014-08-08 23:31:00
107,NYA,2014-08-09 13:05:00,2014-08-09 16:01:00,2014-08-09 11:35:00,2014-08-09 13:35:00,2014-08-09 15:31:00,2014-08-09 17:31:00
108,NYA,2014-08-10 19:05:00,2014-08-10 22:01:00,2014-08-10 17:35:00,2014-08-10 19:35:00,2014-08-10 21:31:00,2014-08-10 23:31:00
109,NYN,2014-08-12 19:10:00,2014-08-12 22:06:00,2014-08-12 17:40:00,2014-08-12 19:40:00,2014-08-12 21:36:00,2014-08-12 23:36:00
110,NYN,2014-08-13 19:10:00,2014-08-13 22:06:00,2014-08-13 17:40:00,2014-08-13 19:40:00,2014-08-13 21:36:00,2014-08-13 23:36:00
111,NYN,2014-08-14 19:10:00,2014-08-14 22:06:00,2014-08-14 17:40:00,2014-08-14 19:40:00,2014-08-14 21:36:00,2014-08-14 23:36:00
112,NYN,2014-08-15 19:10:00,2014-08-15 22:06:00,2014-08-15 17:40:00,2014-08-15 19:40:00,2014-08-15 21:36:00,2014-08-15 23:36:00
113,NYN,2014-08-16 19:10:00,2014-08-16 22:06:00,2014-08-16 17:40:00,2014-08-16 19:40:00,2014-08-16 21:36:00,2014-08-16 23:36:00
114,NYN,2014-08-17 13:10:00,2014-08-17 16:06:00,2014-08-17 11:40:00,2014-08-17 13:40:00,2014-08-17 15:36:00,2014-08-17 17:36:00
115,NYN,2014-08-18 13:10:00,2014-08-18 16:06:00,2014-08-18 11:40:00,2014-08-18 13:40:00,2014-08-18 15:36:00,2014-08-18 17:36:00
